energy_mev,n_events,entries,mean_mm,quantile_used,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,in_fit_exclude_band,geometry_saturated
1,10000,1027594,50.001,0.995,100.000,110.000,600.000,1,0,0
2,10000,3203318,50.038,0.995,100.000,110.000,800.000,1,0,0
3,10000,5516305,50.231,0.995,100.000,110.000,1000.000,1,0,0
4,10000,7807379,50.380,0.995,100.000,110.000,1600.000,1,0,0
5,10000,10129757,50.752,0.995,100.000,110.000,1600.000,1,0,0
6,10000,12463522,51.318,0.995,100.000,110.000,1900.000,1,0,0
7,10000,14741047,52.030,0.995,200.000,220.000,2000.000,1,0,0
8,10000,17009938,52.920,0.995,300.000,330.000,2100.000,1,0,0
9,10000,19290148,53.423,0.995,300.000,330.000,3200.000,1,0,0
10,10000,21511546,54.077,0.995,400.000,440.000,1800.000,0,0,0
11,10000,23802064,55.038,0.995,500.000,550.000,2300.000,0,0,0
12,10000,26085544,56.508,0.995,600.000,660.000,2800.000,0,0,0
13,10000,28334665,56.930,0.995,600.000,660.000,2300.000,0,0,0
14,10000,30492294,60.239,0.995,800.000,880.000,3100.000,0,0,0
15,10000,32745288,61.330,0.995,800.000,880.000,3200.000,0,0,0
16,10000,34917596,63.121,0.995,900.000,990.000,3900.000,0,0,0
17,10000,37159604,64.224,0.995,900.000,990.000,3000.000,0,0,0
18,10000,39326147,66.530,0.995,1000.000,1100.000,3800.000,0,0,0
19,10000,41632124,66.409,0.995,1000.000,1100.000,3000.000,0,0,0
20,10000,43810736,69.655,0.999,1900.000,2090.000,3500.000,0,1,0
30,10000,65626173,108.515,0.999,2300.000,2530.000,4500.000,0,1,0
40,10000,87285815,149.221,0.999,2800.000,3080.000,5300.000,0,1,0
50,10000,108943519,183.866,0.999,3000.000,3300.000,5700.000,0,1,0
60,10000,130327781,220.806,0.999,3200.000,3520.000,6700.000,0,1,0
70,10000,152011940,253.948,0.999,3400.000,3740.000,5300.000,0,1,0
80,10000,173514187,284.141,0.999,3400.000,3740.000,7100.000,0,1,0
90,10000,194900383,318.017,0.999,3600.000,3960.000,6300.000,0,1,0
100,10000,216238641,346.205,0.9999,4700.000,5170.000,5900.000,0,0,0
110,10000,237850967,369.980,0.9999,5000.000,5500.000,6000.000,0,0,0
120,10000,259172115,403.224,0.9999,5000.000,5500.000,8100.000,0,0,0
130,10000,280654570,420.746,0.9999,5900.000,6490.000,8100.000,0,0,0
140,10000,302170881,443.384,0.9999,5500.000,6050.000,7200.000,0,0,0
150,10000,323611886,467.626,0.9999,6200.000,6820.000,7900.000,0,0,0
160,10000,344901967,483.406,0.9999,5200.000,5720.000,7200.000,0,0,0
170,10000,366510926,507.268,0.9999,5300.000,5830.000,6600.000,0,0,0
180,10000,387927224,526.563,0.9999,5200.000,5720.000,6500.000,0,0,0
190,10000,409365869,544.239,0.9999,5700.000,6270.000,7000.000,0,0,0
200,10000,430760821,561.910,0.9999,5500.000,6050.000,6600.000,0,0,0
210,10000,452262370,577.190,0.9999,5400.000,5940.000,7600.000,0,0,0
220,10000,473676031,595.068,0.9999,6200.000,6820.000,9500.000,0,0,0
230,10000,495070015,605.130,0.9999,5700.000,6270.000,7500.000,0,0,0
240,10000,516670731,620.827,0.9999,5600.000,6160.000,7800.000,0,0,0
250,10000,538134617,632.279,0.9999,6400.000,7040.000,9200.000,0,0,0
260,10000,559481700,658.482,0.9999,6000.000,6600.000,8100.000,0,0,0
270,10000,581039015,667.281,0.9999,5800.000,6380.000,8900.000,0,0,0
280,10000,602461248,678.153,0.9999,6100.000,6710.000,7200.000,0,0,0
290,10000,623792221,698.765,0.9999,6100.000,6710.000,8500.000,0,0,0
300,10000,645194535,705.734,0.9999,6100.000,6710.000,7900.000,0,0,0
310,10000,666786761,715.956,0.9999,6300.000,6930.000,10200.000,0,0,0
320,10000,688121305,724.735,0.9999,5800.000,6380.000,9400.000,0,0,0
330,10000,709779247,739.042,0.9999,6300.000,6930.000,8600.000,0,0,0
340,10000,731603855,748.225,0.9999,5700.000,6270.000,10100.000,0,0,0
350,10000,752632980,749.728,0.9999,6200.000,6820.000,9100.000,0,0,0
360,10000,774349792,767.029,0.9999,6800.000,7480.000,9100.000,0,0,0
370,10000,795560065,778.396,0.9999,6700.000,7370.000,8600.000,0,0,0
380,10000,817160380,793.788,0.9999,6100.000,6710.000,8800.000,0,0,0
390,10000,838553212,796.757,0.9999,6500.000,7150.000,8600.000,0,0,0
400,10000,860129720,813.176,0.9999,6800.000,7480.000,9200.000,0,0,0
410,10000,881264800,810.023,0.9999,6300.000,6930.000,8800.000,0,0,0
420,10000,903013536,819.096,0.9999,6500.000,7150.000,9700.000,0,0,0
430,10000,924443226,832.579,0.9999,7100.000,7810.000,10300.000,0,0,0
440,10000,945784510,837.741,0.9999,6100.000,6710.000,9000.000,0,0,0
450,10000,967260296,848.646,0.9999,6400.000,7040.000,8700.000,0,0,0
460,10000,988904372,859.873,0.9999,6200.000,6820.000,8600.000,0,0,0
470,10000,1010310960,868.773,0.9999,6600.000,7260.000,8400.000,0,0,0
480,10000,1031811908,874.839,0.9999,6400.000,7040.000,8500.000,0,0,0
490,10000,1053322032,876.307,0.9999,6700.000,7370.000,10500.000,0,0,0
500,10000,1074779628,885.485,0.9999,6200.000,6820.000,7900.000,0,0,0
510,10000,1096163063,896.907,0.9999,6700.000,7370.000,9700.000,0,0,0
520,10000,1117794872,903.815,0.9999,6500.000,7150.000,9000.000,0,0,0
530,10000,1139151481,904.766,0.9999,6400.000,7040.000,8500.000,0,0,0
540,10000,1160603236,908.955,0.9999,7300.000,8030.000,10200.000,0,0,0
550,10000,1182336206,924.051,0.9999,6500.000,7150.000,8500.000,0,0,0
560,10000,1203528435,927.704,0.9999,6700.000,7370.000,9100.000,0,0,0
570,10000,1225176699,933.557,0.9999,6700.000,7370.000,9600.000,0,0,0
580,10000,1246685738,945.995,0.9999,6600.000,7260.000,8700.000,0,0,0
590,10000,1267896891,945.572,0.9999,6900.000,7590.000,9600.000,0,0,0
600,10000,1289851509,951.397,0.9999,6300.000,6930.000,8600.000,0,0,0
610,10000,1311093125,961.326,0.9999,6700.000,7370.000,9300.000,0,0,0
620,10000,1332720240,964.457,0.9999,6800.000,7480.000,10700.000,0,0,0
630,10000,1354079579,974.036,0.9999,6700.000,7370.000,9400.000,0,0,0
640,10000,1375611049,978.600,0.9999,6700.000,7370.000,9400.000,0,0,0
650,10000,1396971114,984.606,0.9999,6800.000,7480.000,8200.000,0,0,0
660,10000,1418472830,988.628,0.9999,6600.000,7260.000,9200.000,0,0,0
670,10000,1439626842,997.711,0.9999,6700.000,7370.000,9500.000,0,0,0
680,10000,1461280683,997.553,0.9999,6900.000,7590.000,8900.000,0,0,0
690,10000,1483097631,1006.492,0.9999,6900.000,7590.000,8700.000,0,0,0
700,10000,1504581989,1007.081,0.9999,6700.000,7370.000,10500.000,0,0,0
710,10000,1525967951,1014.644,0.9999,6700.000,7370.000,9200.000,0,0,0
720,10000,1547345720,1023.415,0.9999,6800.000,7480.000,9800.000,0,0,0
730,10000,1568719772,1026.443,0.9999,7100.000,7810.000,9400.000,0,0,0
740,10000,1590185643,1033.342,0.9999,7300.000,8030.000,10900.000,0,0,0
750,10000,1612210851,1035.900,0.9999,7000.000,7700.000,9900.000,0,0,0
760,10000,1633623743,1039.555,0.9999,6900.000,7590.000,9400.000,0,0,0
770,10000,1654740586,1046.388,0.9999,7000.000,7700.000,10600.000,0,0,0
780,10000,1676347809,1056.430,0.9999,6900.000,7590.000,10900.000,0,0,0
790,10000,1697912358,1053.343,0.9999,6700.000,7370.000,9500.000,0,0,0
800,10000,1719137096,1066.883,0.9999,6800.000,7480.000,9100.000,0,0,0
810,10000,1740866045,1065.343,0.9999,6800.000,7480.000,9300.000,0,0,0
820,10000,1762581201,1069.394,0.9999,7100.000,7810.000,9500.000,0,0,0
830,10000,1784050958,1076.652,0.9999,7100.000,7810.000,9300.000,0,0,0
840,10000,1804716977,1087.267,0.9999,7400.000,8140.000,11500.000,0,0,0
850,10000,1826679886,1085.126,0.9999,7100.000,7810.000,9000.000,0,0,0
860,10000,1848034803,1085.115,0.9999,6800.000,7480.000,9400.000,0,0,0
870,10000,1869518422,1093.237,0.9999,6900.000,7590.000,10300.000,0,0,0
880,10000,1890858862,1091.746,0.9999,6800.000,7480.000,8700.000,0,0,0
890,10000,1912777641,1103.306,0.9999,6700.000,7370.000,9000.000,0,0,0
900,10000,1933900511,1104.155,0.9999,7300.000,8030.000,9300.000,0,0,0
910,10000,1955175922,1107.477,0.9999,7200.000,7920.000,9600.000,0,0,0
920,10000,1977059815,1112.909,0.9999,7000.000,7700.000,9900.000,0,0,0
930,10000,1998391669,1117.300,0.9999,7100.000,7810.000,9900.000,0,0,0
940,10000,2019305553,1122.155,0.9999,6800.000,7480.000,9700.000,0,0,0
