energy_mev,n_events,entries,mean_mm,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,geometry_saturated
100,5000,15566291,76.792,300.000,330.000,350.000,1,0
125,5000,31617655,121.959,450.000,495.000,450.000,1,0
150,5000,50895785,171.334,550.000,605.000,750.000,1,0
175,5000,72400693,223.465,650.000,715.000,1350.000,1,0
200,5000,95661053,277.470,800.000,880.000,1850.000,1,0
275,5000,171642956,445.646,1150.000,1265.000,1800.000,1,0
350,5000,253180214,619.176,1550.000,1705.000,1700.000,1,0
425,5000,337438082,793.105,1900.000,2090.000,2350.000,1,0
500,5000,423521006,968.340,2300.000,2530.000,3050.000,0,0
625,5000,568868950,1261.054,2950.000,3245.000,4100.000,0,0
750,5000,715676045,1550.524,3550.000,3905.000,3800.000,0,0
875,5000,862505759,1837.304,4200.000,4620.000,5950.000,0,0
1000,5000,1010092177,2123.929,4800.000,5280.000,6650.000,0,0
1250,4000,1044006878,2689.363,6050.000,6655.000,7250.000,0,0
1500,3333,1066621987,3249.204,7300.000,8030.000,7750.000,0,0
1750,2857,1082663229,3801.421,8500.000,9350.000,8850.000,0,0
2000,2500,1094503016,4349.754,9700.000,10670.000,10100.000,0,0
2750,1818,1115830026,5972.999,13250.000,14575.000,13700.000,0,0
3500,1429,1127666468,7539.656,16800.000,18480.000,17400.000,0,0
4250,1176,1133530772,9076.667,20250.000,22275.000,21100.000,0,0
5000,1000,1138750397,10647.627,23800.000,26180.000,24550.000,0,0
6250,800,1143364407,13204.336,29400.000,32340.000,30050.000,0,0
7500,667,1146691113,15666.135,35000.000,38500.000,36050.000,0,0
8750,571,1146798786,18101.484,40400.000,44440.000,41550.000,0,0
10000,500,1149144096,20644.027,45950.000,50545.000,46800.000,0,0
20000,250,1152299110,40222.077,89600.000,98560.000,91150.000,0,0
30000,167,1152867457,57894.816,132350.000,145585.000,134850.000,0,0
40000,125,1150876160,77075.891,176850.000,194535.000,179600.000,0,0
50000,100,1149644656,94306.843,211550.000,232705.000,213350.000,0,0
60000,100,1378011161,111198.860,249600.000,274560.000,250100.000,0,1
70000,100,1512098155,120322.128,250000.000,275000.000,250150.000,0,1
80000,100,1570795031,121163.680,250000.000,275000.000,250050.000,0,1
90000,100,1595090758,123457.378,250000.000,275000.000,250100.000,0,1
100000,100,1607673517,121574.344,250000.000,275000.000,250050.000,0,1
